scenario,operation,dataset_files,sequence,phase,phase_ms
ycsb-b,update,10,30,commit.local_finalize,4.76
ycsb-b,update,10,30,preflight.checkpoint_evaluation,1.873
ycsb-b,update,10,30,preflight.cloud_head_fetch,2414.847
ycsb-b,update,10,30,preflight.outbox_replay,0.45
ycsb-b,update,10,30,preflight.relay_fetch_r2,6805.869
ycsb-b,update,10,30,write.cas_checkpoint_finalize,11605.94
ycsb-b,update,10,30,write.head_journal,3.02
ycsb-b,update,10,30,write.object_prepare_upload,7525.391
ycsb-b,update,10,30,write.preflight,3851.889
ycsb-b,read,10,31,auth.kdf_identity,198.744
ycsb-b,read,10,31,preflight.checkpoint_evaluation,0.817
ycsb-b,read,10,31,preflight.cloud_head_fetch,1736.607
ycsb-b,read,10,31,preflight.outbox_replay,0.07
ycsb-b,read,10,31,preflight.relay_fetch_r2,2305.928
ycsb-b,read,10,31,preflight.total,4050.215
ycsb-b,read,10,31,read.blob_decrypt_verify,0.159
ycsb-b,read,10,31,read.blob_fetch,755.45
ycsb-b,read,10,31,read.path_resolution,3737.848
ycsb-b,read,10,32,auth.kdf_identity,184.652
ycsb-b,read,10,32,preflight.checkpoint_evaluation,0.748
ycsb-b,read,10,32,preflight.cloud_head_fetch,787.326
ycsb-b,read,10,32,preflight.outbox_replay,0.07
ycsb-b,read,10,32,preflight.relay_fetch_r2,2363.571
ycsb-b,read,10,32,preflight.total,3157.558
ycsb-b,read,10,32,read.blob_decrypt_verify,0.404
ycsb-b,read,10,32,read.blob_fetch,650.04
ycsb-b,read,10,32,read.path_resolution,3786.941
ycsb-b,read,10,33,auth.kdf_identity,187.062
ycsb-b,read,10,33,preflight.checkpoint_evaluation,0.791
ycsb-b,read,10,33,preflight.cloud_head_fetch,496.616
ycsb-b,read,10,33,preflight.outbox_replay,0.067
ycsb-b,read,10,33,preflight.relay_fetch_r2,5053.667
ycsb-b,read,10,33,preflight.total,5556.468
ycsb-b,read,10,33,read.blob_decrypt_verify,0.132
ycsb-b,read,10,33,read.blob_fetch,629.101
ycsb-b,read,10,33,read.path_resolution,4906.326
ycsb-b,read,10,34,auth.kdf_identity,175.8
ycsb-b,read,10,34,preflight.checkpoint_evaluation,0.727
