scenario,operation,dataset_files,sequence,phase,phase_ms
ycsb-b,read,10,35,preflight.total,3117.944
ycsb-b,read,10,35,read.blob_decrypt_verify,0.195
ycsb-b,read,10,35,read.blob_fetch,663.366
ycsb-b,read,10,35,read.path_resolution,4804.411
ycsb-b,read,10,36,auth.kdf_identity,193.298
ycsb-b,read,10,36,preflight.checkpoint_evaluation,0.763
ycsb-b,read,10,36,preflight.cloud_head_fetch,716.798
ycsb-b,read,10,36,preflight.outbox_replay,0.07
ycsb-b,read,10,36,preflight.relay_fetch_r2,2404.137
ycsb-b,read,10,36,preflight.total,3127.489
ycsb-b,read,10,36,read.blob_decrypt_verify,0.183
ycsb-b,read,10,36,read.blob_fetch,753.139
ycsb-b,read,10,36,read.path_resolution,3630.71
ycsb-b,read,10,37,auth.kdf_identity,197.417
ycsb-b,read,10,37,preflight.checkpoint_evaluation,0.754
ycsb-b,read,10,37,preflight.cloud_head_fetch,607.14
ycsb-b,read,10,37,preflight.outbox_replay,0.077
ycsb-b,read,10,37,preflight.relay_fetch_r2,2455.261
ycsb-b,read,10,37,preflight.total,3068.69
ycsb-b,read,10,37,read.blob_decrypt_verify,0.204
ycsb-b,read,10,37,read.blob_fetch,602.039
ycsb-b,read,10,37,read.path_resolution,4749.269
ycsb-b,read,10,38,auth.kdf_identity,199.908
ycsb-b,read,10,38,preflight.checkpoint_evaluation,0.783
ycsb-b,read,10,38,preflight.cloud_head_fetch,488.942
ycsb-b,read,10,38,preflight.outbox_replay,0.083
ycsb-b,read,10,38,preflight.relay_fetch_r2,2457.907
ycsb-b,read,10,38,preflight.total,2953.462
ycsb-b,read,10,38,read.blob_decrypt_verify,0.177
ycsb-b,read,10,38,read.blob_fetch,620.328
ycsb-b,read,10,38,read.path_resolution,5363.465
ycsb-b,read,10,39,auth.kdf_identity,202.499
ycsb-b,read,10,39,preflight.checkpoint_evaluation,0.762
ycsb-b,read,10,39,preflight.cloud_head_fetch,568.298
ycsb-b,read,10,39,preflight.outbox_replay,0.076
ycsb-b,read,10,39,preflight.relay_fetch_r2,2370.177
ycsb-b,read,10,39,preflight.total,2945.383
ycsb-b,read,10,39,read.blob_decrypt_verify,0.195
ycsb-b,read,10,39,read.blob_fetch,622.996
ycsb-b,read,10,39,read.path_resolution,4880.44
ycsb-b,read,10,40,auth.kdf_identity,190.14
ycsb-b,read,10,40,preflight.checkpoint_evaluation,1.157
ycsb-b,read,10,40,preflight.cloud_head_fetch,645.515
ycsb-b,read,10,40,preflight.outbox_replay,0.071
ycsb-b,read,10,40,preflight.relay_fetch_r2,2255.538
ycsb-b,read,10,40,preflight.total,2907.948
ycsb-b,read,10,40,read.blob_decrypt_verify,0.196
ycsb-b,read,10,40,read.blob_fetch,617.418
ycsb-b,read,10,40,read.path_resolution,4622.947
ycsb-b,read,10,41,auth.kdf_identity,194.071
ycsb-b,read,10,41,preflight.checkpoint_evaluation,1.319
ycsb-b,read,10,41,preflight.cloud_head_fetch,455.055
ycsb-b,read,10,41,preflight.outbox_replay,0.068
ycsb-b,read,10,41,preflight.relay_fetch_r2,2485.612
ycsb-b,read,10,41,preflight.total,2948.533
ycsb-b,read,10,41,read.blob_decrypt_verify,0.213
ycsb-b,read,10,41,read.blob_fetch,1724.171
ycsb-b,read,10,41,read.path_resolution,3820.133
ycsb-b,read,10,42,auth.kdf_identity,183.167
ycsb-b,read,10,42,preflight.checkpoint_evaluation,0.752
ycsb-b,read,10,42,preflight.cloud_head_fetch,514.947
ycsb-b,read,10,42,preflight.outbox_replay,0.07
ycsb-b,read,10,42,preflight.relay_fetch_r2,2184.619
ycsb-b,read,10,42,preflight.total,2706.388
ycsb-b,read,10,42,read.blob_decrypt_verify,0.165
ycsb-b,read,10,42,read.blob_fetch,625.374
ycsb-b,read,10,42,read.path_resolution,4618.751
ycsb-b,read,10,43,auth.kdf_identity,197.906
ycsb-b,read,10,43,preflight.checkpoint_evaluation,1.328
ycsb-b,read,10,43,preflight.cloud_head_fetch,449.75
ycsb-b,read,10,43,preflight.outbox_replay,0.069
ycsb-b,read,10,43,preflight.relay_fetch_r2,2526.908
ycsb-b,read,10,43,preflight.total,2985.132
ycsb-b,read,10,43,read.blob_decrypt_verify,0.201
ycsb-b,read,10,43,read.blob_fetch,597.505
ycsb-b,read,10,43,read.path_resolution,4744.931
ycsb-b,read,10,44,auth.kdf_identity,212.534
ycsb-b,read,10,44,preflight.checkpoint_evaluation,0.789
ycsb-b,read,10,44,preflight.cloud_head_fetch,468.024
ycsb-b,read,10,44,preflight.outbox_replay,0.074
ycsb-b,read,10,44,preflight.relay_fetch_r2,2376.741
ycsb-b,read,10,44,preflight.total,2851.938
ycsb-b,read,10,44,read.blob_decrypt_verify,0.204
ycsb-b,read,10,44,read.blob_fetch,691.543
ycsb-b,read,10,44,read.path_resolution,4798.551
ycsb-b,read,10,45,auth.kdf_identity,196.536
ycsb-b,read,10,45,preflight.checkpoint_evaluation,0.601
ycsb-b,read,10,45,preflight.cloud_head_fetch,529.988
ycsb-b,read,10,45,preflight.outbox_replay,0.07
ycsb-b,read,10,45,preflight.relay_fetch_r2,2335.129
ycsb-b,read,10,45,preflight.total,2871.307
ycsb-b,read,10,45,read.blob_decrypt_verify,0.198
ycsb-b,read,10,45,read.blob_fetch,715.717
