operation,size_bytes,iteration,phase,phase_ms
cat,1048576,3,preflight.cloud_head_fetch,674.145
cat,1048576,3,preflight.outbox_replay,0.07
cat,1048576,3,preflight.relay_fetch_r2,1689.448
cat,1048576,3,preflight.total,2368.811
cat,1048576,3,read.blob_decrypt_verify,13.381
cat,1048576,3,read.blob_fetch,1124.276
cat,1048576,3,read.path_resolution,1750.724
remove,1048576,3,auth.kdf_identity,187.483
remove,1048576,3,commit.checkpoint_create_journal,1.923
remove,1048576,3,commit.checkpoint_publish_w2,1728.299
remove,1048576,3,commit.cloud_head_recheck,409.114
remove,1048576,3,commit.dropbox_cas,878.278
remove,1048576,3,commit.dropbox_readback,382.063
remove,1048576,3,commit.local_finalize,2.588
remove,1048576,3,preflight.checkpoint_evaluation,1.302
remove,1048576,3,preflight.cloud_head_fetch,1359.893
remove,1048576,3,preflight.outbox_replay,0.314
remove,1048576,3,preflight.relay_fetch_r2,6203.488
remove,1048576,3,write.cas_checkpoint_finalize,7818.897
remove,1048576,3,write.head_journal,1.687
remove,1048576,3,write.object_prepare_upload,4810.178
remove,1048576,3,write.preflight,3160.839
add,1048576,4,auth.kdf_identity,191.213
add,1048576,4,commit.checkpoint_create_journal,1.989
add,1048576,4,commit.checkpoint_publish_w2,1604.777
add,1048576,4,commit.cloud_head_recheck,389.723
add,1048576,4,commit.dropbox_cas,950.772
add,1048576,4,commit.dropbox_readback,374.082
add,1048576,4,commit.local_finalize,3.955
add,1048576,4,preflight.checkpoint_evaluation,1.372
add,1048576,4,preflight.cloud_head_fetch,1285.005
add,1048576,4,preflight.outbox_replay,0.287
add,1048576,4,preflight.relay_fetch_r2,5042.507
add,1048576,4,write.cas_checkpoint_finalize,7453.735
add,1048576,4,write.head_journal,1.816
add,1048576,4,write.object_prepare_upload,4290.325
add,1048576,4,write.preflight,2212.62
cat,1048576,4,auth.kdf_identity,189.875
cat,1048576,4,preflight.checkpoint_evaluation,0.458
cat,1048576,4,preflight.cloud_head_fetch,646.997
cat,1048576,4,preflight.outbox_replay,0.073
cat,1048576,4,preflight.relay_fetch_r2,1709.622
cat,1048576,4,preflight.total,2360.027
cat,1048576,4,read.blob_decrypt_verify,10.696
cat,1048576,4,read.blob_fetch,1425.293
cat,1048576,4,read.path_resolution,1717.187
remove,1048576,4,auth.kdf_identity,179.749
remove,1048576,4,commit.checkpoint_create_journal,1.454
remove,1048576,4,commit.checkpoint_publish_w2,1588.78
remove,1048576,4,commit.cloud_head_recheck,379.234
remove,1048576,4,commit.dropbox_cas,897.554
remove,1048576,4,commit.dropbox_readback,1540.356
remove,1048576,4,commit.local_finalize,3.899
remove,1048576,4,preflight.checkpoint_evaluation,2.014
remove,1048576,4,preflight.cloud_head_fetch,2426.998
remove,1048576,4,preflight.outbox_replay,0.242
remove,1048576,4,preflight.relay_fetch_r2,5267.237
remove,1048576,4,write.cas_checkpoint_finalize,8616.833
remove,1048576,4,write.head_journal,1.331
remove,1048576,4,write.object_prepare_upload,5555.113
remove,1048576,4,write.preflight,3503.102
add,1048576,5,auth.kdf_identity,189.983
add,1048576,5,commit.checkpoint_create_journal,2.974
add,1048576,5,commit.checkpoint_publish_w2,1605.814
add,1048576,5,commit.cloud_head_recheck,1418.8
add,1048576,5,commit.dropbox_cas,847.11
add,1048576,5,commit.dropbox_readback,394.6
add,1048576,5,commit.local_finalize,4.022
add,1048576,5,preflight.checkpoint_evaluation,1.273
add,1048576,5,preflight.cloud_head_fetch,1273.576
add,1048576,5,preflight.outbox_replay,0.279
